lga_name,lon,lat
Wingecarribee Shire,150.35620481972165,-34.47690189473492
Ballina Shire,153.4874241754145,-28.853022850473433
Balranald Shire,143.61154044302845,-33.95052469508959
Bellingen Shire,152.72870894360048,-30.403817032636976
Bland Shire,146.96122080348078,-33.894400912414184
Brewarrina Shire,146.96089892241585,-29.791757967531268
Byron Shire,153.48284198308394,-28.60422400482315
amde,150.72411439391513,-34.00877592813361
arence Valley,152.75119995251316,-29.68175378033769
f the City of Sydney,151.20273799898374,-33.88967096113138
Edward River,144.94146969847037,-35.172546706650756
Fairfield City,150.89542594578663,-33.86561354721719
Griffith City,146.0035955506609,-34.300419560257986
Gunnedah Shire,150.18743620893315,-31.04612527786924
Hawkesbury City,150.7731927778461,-33.334787228901426
Inverell Shire,151.07537913035642,-29.419559913489945
Lachlan Shire,146.9896688556034,-32.920179296432536
Moree Plains Shire,149.6288328621043,-29.25301595114475
Murray River,144.21164150431088,-35.324746601388824
Newcastle City,151.7061082708563,-32.8775934342035
Orange City,149.12038708753485,-33.32464790854995
Parkes Shire,147.9614758698004,-32.88096401005762
Shoalhaven City,150.3823841401565,-35.09357247294225
Snowy Monaro Regiona,148.95874474748294,-36.396439499448114
Temora Shire,147.48362359217623,-34.387981182433826
Tenterfield Shire,152.08635436952403,-28.94389315797272
Upper Lachlan Shire,149.45568712547833,-34.417749185007594
Uralla Shire,151.31236160327953,-30.507665543142096
Walgett Shire,148.19452343422984,-29.816733913302894
Waverley,151.26694336680612,-33.889887536855106
Willoughby City,151.19640801149015,-33.801140959384426
Wollondilly Shire,150.44379292002375,-34.10191954241087
